Medicine Name,Abdomen,Abdomen and Stool,Alimentary Canal,Antidotes,Aur mur kali,Back,Back and Extremities,Back and extremities,Bones,Bowels,Calc mur,Cardio-Vascular,Caution,Chest,Circulatory Organs,Compare: Aqua calcar,"Compare: Black Gunpowder 3x (Abscesses, boils, carbuncles, limb purple. Wounds that refuse to heal; accident from bad food or water","Compare: Calcar hypophosphorosa (is to be preferred when it seems necessary to furnish the organism with liberal doses of phosphorus in consequence of continued abscesses having reduced the vitality. Give first and second decimal trits. Loss of appetite, rapid debility, night sweats; Acne pustulosa",Compare: Electricitas,"Compare: Iris florentina-Orris-root--(delirium, convulsions, and paralysis); Iris factissima (headache and hernia); Iris germanica-Blue Garden Iris--(dropsy and freckles); Iris tenax-I. minor--(dry mouth; deathly sensation at point of stomach, pain in ileo-caecal region; appendicitis. Pain from adhesions after). Pancreatinum-a combination of several enzymes--(Indicated in intestinal indigestion; pain an hour or more after eating. Lienteric diarrhoea. Dose",Compare: Pimpinello--(Bibernell),"Compare: Sanguisorba (Venous congestion and passive haemorrhages; varices of lower extremities; dysentery. Long lasting profuse menses with congestion to head and limbs in sensitive, irritable patients. Climacteric haemorrhages. Use 2x attenuation). Sanguisuga","Daffodil bulbs contain an alkaloid the action of which, according to authorities, varies as to whether the alkaloid is extracted from the flowering bulb or from the bulb after flowering. Thus in the former case the alkaloid produces dryness of the mouth, checks cutaneous secretions, dilates the pupil of the eye, quickens the pulse, and slows and weakens the heart contractions. On the other hand, the alkaloid from the bulbs after flowering produces copious salivation, increases cutaneous secretion, contracts the pupil of the eye, produces slight relaxation of the pulse, and slight faintness and nausea",Doses,Ear,Ears,Extremities,Eye,Eyes,Eyes and Ears,Face,Female,Fever,Gastric,Gastro-Intestinal,Gastro-enteric Symptoms,Gastro-intestinal,General Symptoms,Genito-urinary,Head,Head and Stomach,Heart,Hyosc hydrobrom,Kidney,Liver,Magnetis Poli Ambo,Magnetis Polus Arcticus,Magnetis Polus Australis,Male,Mental,Mind,Mind and Head,Modalities,Modality,Mouth,Neck,Neck and Back,Nerves,Nervous,Nervous System,Non-Homeopathic Preparations and Uses,Non-Homeopathic Uses,Non-homeopathic Uses,Nose,Nose and throat,"On inhaling this drug, it rapidly dilates all arterioles an capillaries, producing flushings of face, heat, and throbbing in the head",Opium (crude),Physiologic Dosage,Potassium Permanganate for Morphine Poisoning,Rectum,Rectum and Stool,Respiration,Respiratory,Respiratory Organs,Sexual,Skin,Sleep,Spleen,Stomach,Stomach and Abdomen,Stool,Stool and Anus,Stools,"The remedy for hperchlorhydria. In cases where albuminoid digestion is too rapid and starch digestion is perverted. The gastric symptoms with the most pronounced acidity are well authenticated, and are the guiding symptoms. The acidity of Robinia is accompanied by frontal headache. Intensely acrid eructations. Acrid and greenish vomiting, colic and flatulence, nightly burning pains in stomach and constipation with urgent desire",Throat,Tissues,Tongue,Urinary,Urinary Organs,Urine,Uses,Vitex trifolia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANISUM STELLATUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp stitches beneath lip. Acute catarrh. Burning and numbness of inner lower lip.,,,,,,,,,"Dyspnoea. Pain near third intercostal cartilage. Cough, with pus-like phlegm. Palpitation, with aphthae. Haemoptysis.",,,,,,,,,,,,,,,,,,,
ANTHRACOKALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRACINUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haemorrhages, black, thick, tar-like, rapidly decomposing, from any orifice. Glands swollen, cellular tissues oedematous and indurated. Septicaemia. Ulceration, sloughing and intolerable burning. Erysipelas. Black and blue blisters. Dissecting wounds. Insect stings. Bad effects from inhaling foul odors. Gangrenous parotitis. Succession of boils. Gangrene. Foul secretions.",,,,,,
ANHALONIUM LEWINII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aches, with disturbed vision. Fantastic, brilliant, moving colored objects. Affected by beating time. Pupils dilated, vertigo, brain tired. Polychrome spectra. Exaggerated reverberation of ordinary sounds.",,,,,,,,,,,Loss of conception of time. Difficult enunciation. Distrust and resentment. Lazy contentment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANILINUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHEMIS NOBILIS,"Aching in region of liver; griping and chilliness inside of abdomen and into legs. Itching of anus, with white putty-like stools.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coryza with much lachrymation, sneezing, and discharge of clear water from the nose. Symptoms worse indoors. Constriction and rawness of throat. Cough, tickling; worse in warm room.",,,,"Itching of the soles, as if from chilblains. Gooseflesh.",,,,,,,,,,,,"Bladder feels distended. Pain along spermatic cord, which feels full, as if varicosed. Frequent urination.",,,,
ZIZIA AUREA,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unusual tired feeling. Chorea, especially during sleep. Fidgety legs (Tarant). Lameness in arms and spasmodic twitching.",,,,,"Intermittent neuralgia of left ovary. Acrid, profuse leucorrhoea, with retarded menses.",,,,,,,,"Pressure on top, in right temple, associated with backache.",,,,,,,,,Great lassitude following coitus. Sexual power increased.,,Suicidal; depressed; laughing and weeping moods alternate.,,"Worse, during sleep.",,,,,,,,,,,,,,,,,,,,"Dry cough, with stitches in chest. Dyspnoea.",,,,,,,,,,,,,,,,,,,
ZINCUM VALERIANICUM,,,,,,,,,,,,,,,,,,,,,,,,,,,Severe pain in neck and spine. Cannot sit still; must keep legs in constant motion. Sciatic neuralgia.,,,,,"Ovaralgia; pain shoots down limbs, even too foot.",,,,,,,,"Violent, neuralgic, intermittent headaches. Becomes almost insane with pain, which is piercing and stabbing. Uncontrollable sleeplessness from pain in head with melancholy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZINGIBER OFFICINALE,"Colic, diarrhoea, extremely loose bowels. Diarrhoea from drinking bad water, with much flatulence, cutting pain, relaxation of sphincter. Hot, sore, painful anus during pregnancy. Chronic intestinal catarrh. Anus red and inflamed. Haemorrhoids hot, painful, sore. (Aloe).",,,,,,,,,,,,,,,,,,,,,,,,,,Very weak in all joints. Back lame. Cramps in soles and palms.,,,,,,,,,,,,,Hemicrania; sudden glimmering before eyes; feels confused and empty. Pain over eyebrows.,,,,,,,,,Itching of prepuce. Sexual desire excited; painful erections. Emissions.,,,,,,,,,,,,,,,Feels obstructed and dry. Intolerable itching; red pimples.,,,,,,,,,"Hoarseness. Smarting below larynx; breathing difficult. Asthma, without anxiety, worse toward morning. Scratching sensation in throat; stitches in chest. Cough dry, hacking; copious morning sputa.",,,,,,"Taste of food remains long, especially of bread and toast. Feels heavy, like from a stone. Complaints from eating melons and drinking impure water. Acidity (Calc; Robinia). Heaviness in stomach on awakening with wind and rumbling, great thirst and emptiness. Pain from pit to under sternum, worse eating.",,,,,,,,,"Frequent desire tu urinate. Stinging, burning in orifice. Yellow discharge from urethra. Urine thick, turbid, of strong odor, suppressed. Complete suppression after typhoid. After urinating, continues to ooze in drops.",,,,
YOHIMBINUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rigor; intense heat, waves of heat and chilliness, tendency to sweat.",,,,,,,"Agitation, with flying sensations of heat in face. Disagreeable, metallic taste. Copious salivation. Nausea and eructation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strong and lasting erections. Neurasthenic impotence. Bleeding piles. Intestinal haemorrhage. Urethritis.,,Sleepless. Thoughts of events of whole past life keep him awake.,,,,,,,,,,,,,,,
YUCCA FILAMENTOSA,"Deep pain in right side over liver, going through back. Stool yellowish brown, with bile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yellow; tongue yellow, coated, taking imprint of teeth (Merc; Pod; Rhus).",,,,,,,,,Aches as if top of head would fly off. Arteries of forehead throb. Nose red.,,,,,,,,,"Burning and swelling of the prepuce, with redness of meatus. Gonorrhoea (Cann; Tussil).",,,,,,Taste as of rotten eggs (Arnica).,,,,,,,,,,,,,,,,,,,,,Erythematous redness.,,,,,,,,,Sensation as if something hung down from posterior nares; cannot get it up or down.,,,,,,,
XEROPHYLLUM,"Intestinal flatulence. In morning rumbling in bowels, with desire for stool.",,,,,"Feels hot from sacrum to scapulae. Backache, extending down legs. Pain over kidneys. Heat deep in spine.",,,,,,,,,,,,,,,,,,,,,"Muscular lameness, trembling. Pain in knees. Limbs feel stiff (Rhus).",,"Painful, as of sand, smarting; difficult to focus for close work. Eyes feel sore, burn.",,Bloated in morning. Puffy under eyes.,"Bearing-down sensation. Vulva inflamed, with furious itching. Increased sexual desire, with ovarian and uterine pains and leucorrhoea.",,,,,,,,"Feels full, stuffed up, pain across forehead and above eyes. Great pressure at root of nose. Bewildered. Loss of consciousness. Pulsating headache.",,,,,,,,,,,"Dull, cannot concentrate mind for study; forgets names; writes last letters of words first; misspells common words.",,"Worse, application of cold water, in afternoon and evening. Better, application of hot water, in morning, moving affected part.",,,,,,,,,,,Stuffed; tightness at bridge of nose; acute nasal catarrh.,,,,,,"Constipation, stools hard, small lumps. Difficult, soft stools, with much straining. Much flatus. Bearing-down pain in rectum.",,,"Posterior nares raw; discharge thick, yellow mucus. Sneezing. Trachea sore; lumps feel constricted.",,,"Erythema, with vesication and intense itching, stinging, and burning. Blisters, little lumps. Skin rough and cracked; feels like leather. Dermatitis, especially around knees. Inflammation resembling poison-oak. Inguinal glands and behind knee swollen.",,,"Feels full and heavy. Eructations sour; offensive, an hour after luncheon and dinner. Vomiting at 2 pm.",,,,,,Stitching pain upon swallowing.,,,,,Difficulty of retaining; dribbling when walking. Frequent urination at night.,,
