Medicine Name,Symptom,Description
ANTIMONIUM CRUDUM,Stool,"Anal itching (Sulpho-calc. Alum). diarrhoea alternates with constipation, especially in old people. Diarrhoea after acids, sour wine, baths, overeating; slimy, flatulent stools. Mucous piles, continued oozing of mucus. Hard lumps mixed with watery discharge. Catarrhal proctitis. Stools composed entirely of mucus."
ANTIMONIUM CRUDUM,Urine,"Frequent, with burning, and backache; turbid and foul odor."
ANTIMONIUM CRUDUM,Male,Eruption on scrotum and about genitals. Impotence. Atrophy of penis and testicles.
ANTIMONIUM CRUDUM,Female,"Excited; parts itch. Before menses, toothache; menses too early and profuse. Menses suppressed from cold bathing, with feeling of pressure in pelvis and tenderness in ovarian region. Leucorrhoea watery; acrid, lumpy."
ANTIMONIUM CRUDUM,Respiratory,"Cough worse coming into warm room, with burning sensation in chest, itching of chest, oppression. Loss of voice from becoming overheated. Voice harsh and badly pitched."
ANTIMONIUM CRUDUM,Back,Itching and pain of neck and back.
ANTIMONIUM CRUDUM,Extremities,Twitching of muscles. Jerks in arms. Arthritic pain in fingers. Nails brittle; grow out of shape. Horny warts on hands and soles. Weakness and shaking of hands in writing followed by offensive flatulence. Feet very tender; covered with large horny places. Inflamed corns. Pain in heels.
ANTIMONIUM CRUDUM,Skin,"Eczema with gastric derangements. Pimples, vesicles, and pustules. Sensitive to cold bathing. Thick, hard, honey-colored scabs. Urticaria; measle-like eruption. Itching when warm in bed. Dry skin. Warts (Thuja; Sabina; Caust). Dry gangrene. Scaly, pustular eruption with burning and itching, worse at night."
ANTIMONIUM CRUDUM,Sleep,Continual drowsiness in old people.
ANTIMONIUM CRUDUM,Fever,"Chilly even in warm room. Intermittent with disgust, nausea, vomiting, eructations, coated tongue, diarrhoea. Hot sweat."
ANTIMONIUM CRUDUM,Modalities,"Worse, in evening, from heat, acids, wine, water, and washing. Wet poultices. Better, in open air, during rest. Moist warmth."
ANTIMONIUM CRUDUM,Relationship,Compare: Antimonium Chloridum. Butter of Antimony (A remedy for cancer. Mucous membranes destroyed. Abrasions. Skin cold and clammy. Great prostration of strength. Dose-third trituration).
ANTIMONIUM CRUDUM,Dose,Third to sixth potency.
ANTIMONIUM ARSENICOSUM,Dose,Third trituration.
APHIS CHENOPODII GLAUCI,Head,"Sad; aching, worse from motion. Brain seems swashed hither and thither. Coryza, with burning or biting in nostrils. Noise in ears, as of cannon. Yellow face. Orbital right neuralgia, with profuse lachrymation. Toothache, relieved by general warm sweat (Cham). Toothache extends to ear, temple, and cheek-bone (Plantago)."
APHIS CHENOPODII GLAUCI,Stomach,No appetite for meat and bread. Vesicles at end of tongue. Much mucus. Colic with much rumbling and ineffectual urging to stool.
APHIS CHENOPODII GLAUCI,Stools,"Hard and knotty. Diarrhoea in morning, with painful urging and burning in anus, and pressure in rectum and bladder."
APHIS CHENOPODII GLAUCI,Urine,"Voluptuous feeling in glans. Burning in urethra. Urination frequent, copious, frothy."
APHIS CHENOPODII GLAUCI,Back,"Severe pains in region of lower inner angle of left shoulder-blade, running into chest."
APHIS CHENOPODII GLAUCI,Fever,Shuddering all over; burning in palms; hot sweat in bed.
APHIS CHENOPODII GLAUCI,Relationship,Compare: Nat sulph; Nux.
APHIS CHENOPODII GLAUCI,Dose,Sixth to thirtieth potency.
APIS MELLIFICA,Mind,"Apathy, indifference, and unconsciousness. Awkward; drops things readily. Stupor, with sudden sharp cries and startings. Stupor alternating with erotic mania. Sensation of dying. Listless; cannot think clearly. Jealous, fidgety, hard to please. Sudden shrill, piercing screams. Whining. Tearfulness. Jealously, fright, rage, vexation, grief. Cannot concentrate mind when attempting to read or study."
APIS MELLIFICA,Head,"Whole brain feels very tired. Vertigo with sneezing, worse on lying or closing eyes. Heat, throbbing, distensive pains, better on pressure, and worse on motion. Sudden stabbing pains. Dull, heavy sensation in occiput, as from a blow, extending to neck (better on pressure), accompanied with sexual excitement. Bores head into pillow and screams out."
APIS MELLIFICA,Eyes,"Lids swollen, red, oedematous, everted, inflamed; burn and sting. Conjunctiva bright red, puffy. Lachrymation hot. Photophobia. Sudden piercing pains. Pain around orbits. Serous exudation, oedema, and sharp pains. Suppurative inflammation of eyes. Keratitis with intense chemosis of ocular conjunctiva. Staphyloma of cornea following suppurative inflammation. Styes, also prevents their recurrence."
APIS MELLIFICA,Ears,"External ear red, inflamed, sore; stinging pains."
APIS MELLIFICA,Nose,"Coldness of tips of nose. Red, swollen, inflamed, with sharp pains."
APIS MELLIFICA,Face,"Swollen, red, with piercing pain. Waxy, pale, oedematous. Erysipelas with stinging burning oedema. Extends from right to left."
APIS MELLIFICA,Mouth,"Tongue fiery red, swollen, sore, and raw, with vesicles. Scalding in mouth and throat. Tongue feels scalded, red hot, trembling. Gums swollen. Lips swollen, especially upper. Membrane of mouth and throat glossy, as if varnished. Red, shining, and puffy, like erysipelas. Cancer of the tongue."
APIS MELLIFICA,Throat,"Constricted, stinging pains. Uvula swollen, sac-like. Throat swollen, inside and out; tonsils swollen, puffy, fiery red. Ulcers on tonsils. Fiery red margin around leathery membrane. Sensation of fishbone in throat."
APIS MELLIFICA,Stomach,Sore feeling. Thirstless. Vomiting of food. Craving for milk (Rhus).
APIS MELLIFICA,Abdomen,"Sore, bruised on pressure, when sneezing. Extremely tender. Dropsy of abdomen. Peritonitis. Swelling in right groin."
APIS MELLIFICA,Stool,"Involuntary on every motion; anus seems open. Bloody, painless. Anus feels raw. Haemorrhoids, with stinging pain, after confinement. Diarrhoea watery, yellow; cholera infantum type. Cannot urinate without a stool. Dark, fetid, worse after eating. Constipation; feels as if something would break on straining."
APIS MELLIFICA,Urine,"Burning and soreness when urinating. Suppressed, loaded with casts; frequent and involuntary; stinging pain and strangury; scanty, high colored. Incontinence. Last drops burn and smart."
APIS MELLIFICA,Female,"Å’dema of labia; relieved by cold water. Soreness and stinging pains; ovaritis; worse in right ovary. Menses suppressed, with cerebral and head symptoms, especially in young girls. Dysmenorrhoea, with severe ovarian pains. Metrorrhagia profuse, with heavy abdomen, faintness, stinging pain. Sense of tightness. Bearing-down, as if menses were to appear. Ovarian tumors, metritis with stinging pains. Great tenderness over abdomen and uterine region."
APIS MELLIFICA,Respiratory,"Hoarseness; dyspnoea, breathing hurried and difficult. Å’dema of larynx. Feels as if he could not draw another breath. Suffocation; short, dry cough, suprasternal. Hydrothorax."
APIS MELLIFICA,Extremities,"Å’dematous. Synovitis. Felon in beginning. Knee swollen, shiny, sensitive, sore, with stinging pain. Feet swollen and stiff. Feel too large. Rheumatic pain in back and limbs; Tired, bruised feeling. Numbness of hands and tips of fingers. Hives with intolerable itching. Å’dematous swellings."
APIS MELLIFICA,Skin,"Swellings after bites; sore, sensitive. Stinging. Erysipelas, with sensitiveness and swelling, rosy hue. Carbuncles, with burning, stinging pain (Ars; Anthrac). Sudden puffing up of whole body."
APIS MELLIFICA,Sleep,Very drowsy. Dreams full of care and toil. Screams and sudden starting during sleep.
APIS MELLIFICA,Fever,"Afternoon chill, with thirst; worse on motion and heat. External heat, with smothering feeling. Sweat slight, with sleepiness. Perspiration breaks out and dries up frequently. Sleeps after the fever paroxysm. After perspiration, nettle rash, also with shuddering."
APIS MELLIFICA,Modalities,"Worse, heat in any form; touch; pressure; late in afternoon; after sleeping; in closed and heated rooms. Right side. Better, in open air, uncovering, and cold bathing."
APIS MELLIFICA,Relationship,"Complementary.: Nat mur. The ""chronic"", Apis; also Baryta carb, if lymphatics are involved. Inimical. Rhus."
APIS MELLIFICA,Dose,"Tincture to thirtieth potency. In oedematous conditions the lower potencies. Sometimes action is slow; so several days elapse before it is seen to act, and then urine is increased. Apium virus, sixth trituration."
ANTIPYRINUM,Mind,Fear of becoming insane; nervous anxiety; hallucinations of sight and hearing.
ANTIPYRINUM,Head,Throbbing headache; sensation of constriction. Flashes of heat. Headache under ears with earache.
ANTIPYRINUM,Eyes,"Puffiness of lids. Conjunctiva red and oedematous, with lachrymation. Red spots (Apis)."
ANTIPYRINUM,Ears,Pains and buzzing. Tinnitus.
ANTIPYRINUM,Face,Å’dema and puffiness. Red and swollen.
ANTIPYRINUM,Mouth,Swelling of lips. Burning of mouth and gums. Ulceration of lips and tongue; vesicles and bullae. Small lump in cheek. Tongue swollen. Bloody saliva. Toothache along lower jaw.
ANTIPYRINUM,Throat,"Pain on swallowing. Expectoration of fetid pus. Abscess, white false membrane. Sensation of burning."
ANTIPYRINUM,Stomach,Nausea and vomiting; burning and pain.
ANTIPYRINUM,Urine,Diminished. Penis black.
ANTIPYRINUM,Female,Itching and burning in vagina. Menses suppressed. Watery leucorrhoea.
ANTIPYRINUM,Respiratory,Fluent coryza. Nasal mucous membrane swollen. Dull pains in frontal sinus. Aphonia. Oppression and dyspnoea. Cheyne-Stokes respiration.
ANTIPYRINUM,Heart,"Faintness, with sensation of stoppage of heart. Throbbing throughout the body. Rapid, weak, irregular pulse."
ANTIPYRINUM,Nerves,Epileptiform seizures. Contractures. Trembling and cramps. Crawling and numbness. General prostration.
ANTIPYRINUM,Skin,"Erythema, eczema, pemphigus. Intense pruritus. Urticaria, appearing and disappearing suddenly, with internal coldness. Angioneurotic-oedema. Dark blotches on skin of penis, sometimes with oedema."
ANTIPYRINUM,Dose,Second decimal potency.
APIUM GRAVEOLENS,Head,Depressed; energetic; feeling of fidgets; cannot sleep from thinking. Headache; better eating. Eyeballs feel sunken. Itching in eyes. Itching and smarting in inner canthus of left eye.
APIUM GRAVEOLENS,Abdomen,"Sore; sharp sticking pain as if stool was coming on; diarrhoea, sharp pain in left iliac region going over to right. Nausea increases with pains."
APIUM GRAVEOLENS,Female,"Sharp sticking pains in both ovarian regions, left, better bending over, by lying on left side, with legs flexed; nipples tender."
APIUM GRAVEOLENS,Respiratory,"Tickling, dry cough. Intense constriction over sternum, with drawing feeling through to back on lying down. Throat swollen, dyspnoea."
APIUM GRAVEOLENS,Skin,"Itching blotches; burning, creeping sensation. Profuse discharge from granulating ulcers. Urticaria with shuddering."
APIUM GRAVEOLENS,Sleep,Unrefreshed; sleepless. Wakes from 1 to 3 am.Eating does not help sleep. Not fatigued from loss of sleep.
APIUM GRAVEOLENS,Dose,First to thirtieth potency.
ANTIMONIUM TARTARICUM,Mind and Head,"Vertigo alternates with drowsiness. Great despondency. Fear of being alone. Muttering, delirium, and stupor. Vertigo, with dullness and confusion. Band-like feeling over forehead. Face pale and sunken. Child will not be touched without whining. Headache as from a band compressing (Nit ac)."
ANTIMONIUM TARTARICUM,Tongue,"Coated, pasty, thick white, with red edges. Red and dry, especially in the center. Brown."
ANTIMONIUM TARTARICUM,Face,"Cold, blue, pale; covered with cold sweat. Incessant quivering of chin and lower jaw (Gelsem)."
ANTIMONIUM TARTARICUM,Stomach,"Difficult deglutition of liquids. Vomiting in any position, excepting lying on right side. Nausea, retching, and vomiting, especially after food, with deathly faintness and prostration. Thirst for cold water, little and often, and desire for apples, fruits, and acids generally. Nausea produces fear; with pressure in praecordial region, followed by headache with yawning and lachrymation and vomiting."
ANTIMONIUM TARTARICUM,Abdomen,"Spasmodic colic, much flatus. Pressure in abdomen, especially on stooping forward. Cholera morbus. Diarrhoea in eruptive diseases."
ANTIMONIUM TARTARICUM,Urinary,Burning in urethra during and after urinating. Last drops bloody with pain in bladder. Urging increased. Catarrh of bladder and urethra. Stricture. Orchitis.
ANTIMONIUM TARTARICUM,Respiratory Organs,"Hoarseness. Great rattling of mucus, but very little is expectorated. Velvety feeling in chest. Burning sensation in chest, which ascends to throat. Rapid, short, difficult breathing; seems as if he would suffocate; must sit up. Emphysema of the aged. Coughing and gaping consecutively. Bronchial tubes overloaded with mucus. Cough excited by eating, with pain in chest and larynx. Å’dema and impending paralysis of lungs. Much palpitation, with uncomfortable hot feeling. Pulse rapid, weak, trembling. Dizziness, with cough. Dyspnoea relieved by eructation. Cough and dyspnoea better lying on right side--(opposite Badiaga)."
ANTIMONIUM TARTARICUM,Back,"Violent pain in sacro-lumbar region. Slightest effort to move may cause retching and cold, clammy sweat. Sensation of heavy weight at the coccyx, dragging downward all the time. Twitching of muscles; limbs tremulous."
ANTIMONIUM TARTARICUM,Skin,"Pustular eruption, leaving a bluish-red mark. Small-pox. Warts."
ANTIMONIUM TARTARICUM,Fever,"Coldness, trembling, and chilliness. Intense heat. Copious perspiration. Cold, clammy sweat, with great faintness. Intermittent fever with lethargic condition."
ANTIMONIUM TARTARICUM,Sleep,Great drowsiness. On falling asleep electric-like shocks. Irresistible inclination to sleep with nearly all complaints.
ANTIMONIUM TARTARICUM,Modalities,"Worse, in evening; from lying down at night; from warmth; in damp cold weather; from all sour things and milk. Better, from sitting erect; from eructation and expectoration."
ANTIMONIUM TARTARICUM,Relationship,Antidotes: Puls; Sepia.
ANTIMONIUM TARTARICUM,Dose,Second and sixth trituration. The lower potencies sometimes aggravate.
ANTIMONIUM SULPHURATUM AURATUM,Nose and throat,Nosebleed on washing. Increased secretion in nose and throat. Rough and scrapy feeling. Loss of smell. Metallic styptic taste.
ANTIMONIUM SULPHURATUM AURATUM,Respiratory,"Tickling in larynx. Increased mucus with fullness in bronchi. Respiration difficult, pressure in bronchi, with constriction. Tough mucus in bronchi and larynx. Dry hard cough. Congestion of upper lobe of left lung. Winter coughs patient is sore all over. Pneumonia, when hepatization occurred and resolution failed to take place."
ANTIMONIUM SULPHURATUM AURATUM,Skin,Acne (pustular variety). Itching on hands and feet.
ANTIMONIUM SULPHURATUM AURATUM,Dose,Second or third trituration.
ANISUM STELLATUM,Nose,Sharp stitches beneath lip. Acute catarrh. Burning and numbness of inner lower lip.
ANISUM STELLATUM,Respiratory,"Dyspnoea. Pain near third intercostal cartilage. Cough, with pus-like phlegm. Palpitation, with aphthae. Haemoptysis."
ANISUM STELLATUM,Dose,Third potency.
ANTHRACOKALI,Dose,Low triturations.
ANTHRACINUM,Tissues,"Haemorrhages, black, thick, tar-like, rapidly decomposing, from any orifice. Glands swollen, cellular tissues oedematous and indurated. Septicaemia. Ulceration, sloughing and intolerable burning. Erysipelas. Black and blue blisters. Dissecting wounds. Insect stings. Bad effects from inhaling foul odors. Gangrenous parotitis. Succession of boils. Gangrene. Foul secretions."
ANTHRACINUM,Relationship,"Similar to Arsenic, which it often follows. Compare: Pyrogen; Lachesis; Crotalus; Hippozoen; Echinac; Silica follows well. In the treatment of carbuncles, remember the prescription of the prophet Isaiah for King Hezekiah's carbuncle-i.e the pulp of a fig placed on a poultice and apply."
ANTHRACINUM,Dose,Thirtieth potency. Tarant. Cubensis.
ANHALONIUM LEWINII,Mind,Loss of conception of time. Difficult enunciation. Distrust and resentment. Lazy contentment.
ANHALONIUM LEWINII,Head,"Aches, with disturbed vision. Fantastic, brilliant, moving colored objects. Affected by beating time. Pupils dilated, vertigo, brain tired. Polychrome spectra. Exaggerated reverberation of ordinary sounds."
ANHALONIUM LEWINII,Dose,Tincture.
ANHALONIUM LEWINII,Relationship,Compare Agave. The intoxication of Anhalonium is similar to that of Cannabis Indica and Oenanthe.
ANILINUM,Relationship,Compare: Arsenic; Antipyrin.
ANTHEMIS NOBILIS,Respiration,"Coryza with much lachrymation, sneezing, and discharge of clear water from the nose. Symptoms worse indoors. Constriction and rawness of throat. Cough, tickling; worse in warm room."
ANTHEMIS NOBILIS,Abdomen,"Aching in region of liver; griping and chilliness inside of abdomen and into legs. Itching of anus, with white putty-like stools."
ANTHEMIS NOBILIS,Urinary,"Bladder feels distended. Pain along spermatic cord, which feels full, as if varicosed. Frequent urination."
ANTHEMIS NOBILIS,Skin,"Itching of the soles, as if from chilblains. Gooseflesh."
ANTHEMIS NOBILIS,Dose,Use the third potency.
ZIZIA AUREA,Mind,Suicidal; depressed; laughing and weeping moods alternate.
ZIZIA AUREA,Head,"Pressure on top, in right temple, associated with backache."
ZIZIA AUREA,Male,Great lassitude following coitus. Sexual power increased.
ZIZIA AUREA,Female,"Intermittent neuralgia of left ovary. Acrid, profuse leucorrhoea, with retarded menses."
ZIZIA AUREA,Respiratory,"Dry cough, with stitches in chest. Dyspnoea."
ZIZIA AUREA,Extremities,"Unusual tired feeling. Chorea, especially during sleep. Fidgety legs (Tarant). Lameness in arms and spasmodic twitching."
ZIZIA AUREA,Modalities,"Worse, during sleep."
ZIZIA AUREA,Relationship,Compare: Agar; Stram; Tarant; Cicuta; Aethusa.
ZIZIA AUREA,Dose,"Tincture, to third potency."
ZINCUM VALERIANICUM,Head,"Violent, neuralgic, intermittent headaches. Becomes almost insane with pain, which is piercing and stabbing. Uncontrollable sleeplessness from pain in head with melancholy."
ZINCUM VALERIANICUM,Female,"Ovaralgia; pain shoots down limbs, even too foot."
ZINCUM VALERIANICUM,Extremities,Severe pain in neck and spine. Cannot sit still; must keep legs in constant motion. Sciatic neuralgia.
ZINCUM VALERIANICUM,Dose,First and second trituration. Must be continued for some time in treatment of neuralgia.
ZINGIBER OFFICINALE,Head,Hemicrania; sudden glimmering before eyes; feels confused and empty. Pain over eyebrows.
ZINGIBER OFFICINALE,Nose,Feels obstructed and dry. Intolerable itching; red pimples.
ZINGIBER OFFICINALE,Stomach,"Taste of food remains long, especially of bread and toast. Feels heavy, like from a stone. Complaints from eating melons and drinking impure water. Acidity (Calc; Robinia). Heaviness in stomach on awakening with wind and rumbling, great thirst and emptiness. Pain from pit to under sternum, worse eating."
ZINGIBER OFFICINALE,Abdomen,"Colic, diarrhoea, extremely loose bowels. Diarrhoea from drinking bad water, with much flatulence, cutting pain, relaxation of sphincter. Hot, sore, painful anus during pregnancy. Chronic intestinal catarrh. Anus red and inflamed. Haemorrhoids hot, painful, sore. (Aloe)."
ZINGIBER OFFICINALE,Urinary,"Frequent desire tu urinate. Stinging, burning in orifice. Yellow discharge from urethra. Urine thick, turbid, of strong odor, suppressed. Complete suppression after typhoid. After urinating, continues to ooze in drops."
ZINGIBER OFFICINALE,Male,Itching of prepuce. Sexual desire excited; painful erections. Emissions.
ZINGIBER OFFICINALE,Respiratory,"Hoarseness. Smarting below larynx; breathing difficult. Asthma, without anxiety, worse toward morning. Scratching sensation in throat; stitches in chest. Cough dry, hacking; copious morning sputa."
ZINGIBER OFFICINALE,Extremities,Very weak in all joints. Back lame. Cramps in soles and palms.
ZINGIBER OFFICINALE,Relationship,Compare: Calad.
ZINGIBER OFFICINALE,Dose,First to sixth potency.
YOHIMBINUM,Head,"Agitation, with flying sensations of heat in face. Disagreeable, metallic taste. Copious salivation. Nausea and eructation."
YOHIMBINUM,Sexual,Strong and lasting erections. Neurasthenic impotence. Bleeding piles. Intestinal haemorrhage. Urethritis.
YOHIMBINUM,Fever,"Rigor; intense heat, waves of heat and chilliness, tendency to sweat."
YOHIMBINUM,Sleep,Sleepless. Thoughts of events of whole past life keep him awake.
YOHIMBINUM,Dose,"As a sexual stimulant, ten drops of a one per cent solution, or hypodermic tablets of 0. 005 gm. Homeopathic dose, third potency."
YUCCA FILAMENTOSA,Head,Aches as if top of head would fly off. Arteries of forehead throb. Nose red.
YUCCA FILAMENTOSA,Face,"Yellow; tongue yellow, coated, taking imprint of teeth (Merc; Pod; Rhus)."
YUCCA FILAMENTOSA,Mouth,Taste as of rotten eggs (Arnica).
YUCCA FILAMENTOSA,Throat,Sensation as if something hung down from posterior nares; cannot get it up or down.
YUCCA FILAMENTOSA,Abdomen,"Deep pain in right side over liver, going through back. Stool yellowish brown, with bile."
YUCCA FILAMENTOSA,Male,"Burning and swelling of the prepuce, with redness of meatus. Gonorrhoea (Cann; Tussil)."
YUCCA FILAMENTOSA,Skin,Erythematous redness.
YUCCA FILAMENTOSA,Dose,"Tincture, to third potency."
XEROPHYLLUM,Mind,"Dull, cannot concentrate mind for study; forgets names; writes last letters of words first; misspells common words."
XEROPHYLLUM,Head,"Feels full, stuffed up, pain across forehead and above eyes. Great pressure at root of nose. Bewildered. Loss of consciousness. Pulsating headache."
XEROPHYLLUM,Eyes,"Painful, as of sand, smarting; difficult to focus for close work. Eyes feel sore, burn."
XEROPHYLLUM,Nose,Stuffed; tightness at bridge of nose; acute nasal catarrh.
XEROPHYLLUM,Face,Bloated in morning. Puffy under eyes.
XEROPHYLLUM,Throat,Stitching pain upon swallowing.
XEROPHYLLUM,Stomach,"Feels full and heavy. Eructations sour; offensive, an hour after luncheon and dinner. Vomiting at 2 pm."
XEROPHYLLUM,Abdomen,"Intestinal flatulence. In morning rumbling in bowels, with desire for stool."
XEROPHYLLUM,Rectum,"Constipation, stools hard, small lumps. Difficult, soft stools, with much straining. Much flatus. Bearing-down pain in rectum."
XEROPHYLLUM,Urine,Difficulty of retaining; dribbling when walking. Frequent urination at night.
XEROPHYLLUM,Female,"Bearing-down sensation. Vulva inflamed, with furious itching. Increased sexual desire, with ovarian and uterine pains and leucorrhoea."
XEROPHYLLUM,Respiratory,"Posterior nares raw; discharge thick, yellow mucus. Sneezing. Trachea sore; lumps feel constricted."
XEROPHYLLUM,Back,"Feels hot from sacrum to scapulae. Backache, extending down legs. Pain over kidneys. Heat deep in spine."
XEROPHYLLUM,Extremities,"Muscular lameness, trembling. Pain in knees. Limbs feel stiff (Rhus)."
XEROPHYLLUM,Skin,"Erythema, with vesication and intense itching, stinging, and burning. Blisters, little lumps. Skin rough and cracked; feels like leather. Dermatitis, especially around knees. Inflammation resembling poison-oak. Inguinal glands and behind knee swollen."
XEROPHYLLUM,Modalities,"Worse, application of cold water, in afternoon and evening. Better, application of hot water, in morning, moving affected part."
XEROPHYLLUM,Relationship,Compare: Rhus; Anacard; Grindelia.
XEROPHYLLUM,Dose,Sixth potency or higher.
ZINCUM METALLICUM,Mind,"Weak memory. Very sensitive to noise. Averse to work, to talk. Child repeats everything said to it. Fears arrest on account of a supposed crime. Melancholia. Lethargic, stupid. Paresis."
ZINCUM METALLICUM,Head,"Feels as if he would fall to left side. Headache from the smallest quantity of wine. Hydrocephalus. Rolls head from side to side. Bores head into pillow. Occipital pain, with weight on vertex. Automatic motion of head and hands. Brain-fag; headaches of overtaxed school children. Forehead cool; base of brain hot. Roaring in head. Starting in fright."
ZINCUM METALLICUM,Eyes,"Pterygium; smarting, lachrymation, itching. Pressure as if pressed into head. Itching and soreness of lids and inner angles. Ptosis. Rolling of eyes. Blurring of one-half of vision; worse, stimulants. Squinting. Amaurosis, with severe headache. Red and inflamed conjunctiva; worse, inner canthus."
ZINCUM METALLICUM,Ears,"Tearing, stitches, and external swelling. Discharge of fetid pus."
ZINCUM METALLICUM,Nose,Sore feeling high up; pressure upon root.
ZINCUM METALLICUM,Face,"Pale lips, and corners of mouth cracked. Redness and itching eruption on chin. Tearing in facial bones."
ZINCUM METALLICUM,Mouth,Teeth loose. Gums bleed. Gnashing of teeth. Bloody taste. Blisters on tongue. Difficult dentition; child weak; cold and restless feet.
ZINCUM METALLICUM,Throat,Dry; constant inclination to hawk up tenacious mucus. Rawness and dryness in throat and larynx. Pain in muscles of throat when swallowing.
ZINCUM METALLICUM,Stomach,"Hiccough, nausea, vomiting of bitter mucus. Burning in stomach, heartburn from sweet things. Cannot stand smallest quantity of wine. Ravenous hunger about 11 am (Sulph). Great greediness when eating; cannot eat fast enough. Atonic dyspepsia, feeling as if stomach were collapsed."
ZINCUM METALLICUM,Abdomen,"Pain after a light meal, with tympanitis. Pain in spot beneath navel. Gurgling and griping; distended. Flatulent colic, with retraction of abdomen (Plumb). Enlarged, indurated sore liver. Reflex symptoms from floating kidney. Griping after eating."
ZINCUM METALLICUM,Urine,"Can only void urine when sitting bent backwards. Hysterical retention. Involuntary urination when walking, coughing or sneezing."
ZINCUM METALLICUM,Rectum,"Hard, small, constipated stool. Cholera infantum, with tenesmus; green mucous discharges. Sudden cessation of diarrhoea, followed by cerebral symptoms."
ZINCUM METALLICUM,Male,"Testicles swelled, drawn up. Erections violent. Emissions with hypochondriasis. Falling off of hair (pubic). Drawing in testicles up to spermatic cord."
ZINCUM METALLICUM,Female,"Ovarian pain, especially left; can't keep still (Viburn). Nymphomania of lying-in women. Menses too late, suppressed; lochia suppressed (Puls). Breasts painful. Nipples sore. Menses flow more at night (Bov). Complaints all better during menstrual flow. (Eupion; Lach). All the female symptoms are associated with restlessness, depression, coldness spinal tenderness and restless feet. Dry cough before and during menses."
ZINCUM METALLICUM,Respiratory,"Burning pressure beneath sternum. Constriction and cutting in chest. Hoarseness. Debilitating, spasmodic cough; worse, eating sweet things. Child grasps genitals during cough. Asthmatic bronchitis, with constriction, of chest. Dyspnoea better as soon as expectoration appears."
ZINCUM METALLICUM,Back,Pain in small of back. Cannot bear back touched (Sul; Therid; Cinch). Tension and stinging between shoulders. Spinal irritation. Dull aching about the last dorsal or first lumbar vertebrae; worse sitting. Burning along spine. Nape of neck weary from writing or any exertion. Tearing in shoulder-blades.
ZINCUM METALLICUM,Extremities,"Lameness, weakness, trembling and twitching of various muscles. Chilblains (Agar). Feet in continued motion; cannot keep still. Large varicose veins on legs. Sweaty. Convulsions, with pale face. Transverse pains, especially in upper extremity. Soles of feet sensitive. Steps with entire sole of foot on floor."
